id,id_seccion,id_curso,id_profesor,horas_semanales,dia_principal
1,1,1,121,4,Miercoles
2,1,2,47,5,Viernes
3,1,3,24,2,Lunes
4,1,4,104,3,Viernes
5,1,5,49,3,Martes
6,1,6,102,2,Jueves
7,1,7,116,4,Miercoles
8,1,8,23,4,Martes
9,1,9,67,2,Lunes
10,1,10,72,3,Jueves
11,2,1,123,5,Martes
12,2,2,66,5,Jueves
13,2,3,117,4,Jueves
14,2,4,38,4,Jueves
15,2,5,49,3,Martes
16,2,6,14,3,Miercoles
17,2,7,74,3,Viernes
18,2,8,92,5,Lunes
19,2,9,62,3,Jueves
20,2,10,69,4,Lunes
21,3,1,101,3,Lunes
22,3,2,106,5,Miercoles
23,3,3,26,3,Miercoles
24,3,4,57,2,Miercoles
25,3,5,49,3,Miercoles
26,3,6,14,3,Viernes
27,3,7,25,4,Viernes
28,3,8,61,5,Miercoles
29,3,9,65,2,Miercoles
30,3,10,119,5,Jueves
31,4,1,78,5,Lunes
32,4,2,13,4,Martes
33,4,3,7,4,Martes
34,4,4,104,4,Lunes
35,4,5,44,5,Martes
36,4,6,96,4,Viernes
37,4,7,36,4,Viernes
38,4,8,18,3,Jueves
39,4,9,21,2,Miercoles
40,4,10,39,5,Miercoles
41,5,1,101,5,Lunes
42,5,2,47,4,Lunes
43,5,3,127,3,Lunes
44,5,4,17,2,Jueves
45,5,5,44,4,Jueves
46,5,6,95,4,Miercoles
47,5,7,80,3,Martes
48,5,8,37,4,Viernes
49,5,9,62,2,Martes
50,5,10,39,5,Miercoles
51,6,1,93,2,Viernes
52,6,2,106,3,Martes
53,6,3,30,4,Martes
54,6,4,17,4,Viernes
55,6,5,2,5,Lunes
56,6,6,27,3,Jueves
57,6,7,74,4,Martes
58,6,8,61,4,Viernes
59,6,9,62,4,Miercoles
60,6,10,112,4,Miercoles
61,7,1,111,2,Viernes
62,7,2,106,4,Miercoles
63,7,3,52,3,Viernes
64,7,4,53,2,Jueves
65,7,5,2,3,Jueves
66,7,6,14,3,Viernes
67,7,7,80,3,Lunes
68,7,8,129,3,Jueves
69,7,9,70,3,Jueves
70,7,10,118,2,Miercoles
71,8,1,122,5,Lunes
72,8,2,47,2,Viernes
73,8,3,30,5,Jueves
74,8,4,41,3,Miercoles
75,8,5,49,3,Miercoles
76,8,6,102,4,Martes
77,8,7,80,2,Jueves
78,8,8,37,2,Viernes
79,8,9,15,2,Viernes
80,8,10,84,3,Jueves
81,9,1,121,3,Martes
82,9,2,66,4,Miercoles
83,9,3,34,3,Jueves
84,9,4,68,3,Jueves
85,9,5,108,2,Miercoles
86,9,6,28,2,Lunes
87,9,7,74,2,Jueves
88,9,8,31,5,Lunes
89,9,9,63,3,Martes
