id,id_padre,id_alumno,parentesco
1,1,999,Padre
2,2,2653,Padre
3,3,3938,Madre
4,4,260,Padre
5,4,3487,Padre
6,4,929,Padre
7,5,284,Madre
8,6,3374,Padre
9,7,179,Madre
10,8,18,Madre
11,9,3019,Padre
12,10,1191,Madre
13,11,75,Madre
14,12,830,Padre
15,13,1164,Madre
16,14,745,Padre
17,15,1385,Padre
18,15,3858,Padre
19,16,602,Madre
20,17,622,Padre
21,18,3678,Padre
22,19,353,Madre
23,20,1937,Padre
24,20,1632,Padre
25,21,1944,Madre
26,22,2776,Madre
27,22,3338,Madre
28,23,2438,Madre
29,24,3202,Padre
30,25,3516,Padre
31,26,1688,Padre
32,26,1511,Padre
33,27,3948,Padre
34,28,1035,Madre
35,29,123,Madre
36,30,1079,Padre
37,31,1339,Padre
38,31,3034,Padre
39,32,3800,Padre
40,33,61,Madre
41,34,1808,Madre
42,35,3063,Padre
43,36,3797,Madre
44,36,1619,Madre
45,37,584,Padre
46,38,3470,Padre
47,39,53,Madre
48,40,3172,Madre
49,40,1605,Madre
50,41,2852,Madre
51,41,2465,Madre
52,42,2667,Madre
53,42,3124,Madre
54,43,253,Padre
55,44,1834,Padre
56,45,3014,Padre
57,45,2381,Padre
58,46,2973,Padre
59,46,1414,Padre
60,47,254,Padre
61,48,549,Padre
62,48,2939,Padre
63,49,3851,Padre
64,50,359,Padre
65,51,2246,Madre
66,52,1850,Padre
67,52,1026,Padre
68,53,3839,Padre
69,54,3726,Madre
70,55,1913,Madre
71,56,2808,Padre
72,57,2460,Padre
73,57,195,Padre
74,57,1077,Padre
75,58,3668,Padre
76,59,2279,Padre
77,60,2500,Madre
78,61,1444,Madre
79,62,447,Padre
80,63,1078,Madre
81,64,99,Padre
82,64,97,Padre
83,64,2807,Padre
84,65,2919,Padre
85,66,2902,Padre
86,67,164,Padre
87,68,824,Padre
88,68,1531,Padre
89,69,1210,Padre
90,70,3622,Padre
91,70,3866,Padre
92,71,3729,Padre
93,71,27,Padre
94,72,1284,Padre
95,72,456,Padre
96,72,152,Padre
97,73,459,Madre
98,73,3061,Madre
99,74,1838,Madre
100,75,4002,Madre
101,76,1125,Padre
102,77,1608,Padre
103,78,3758,Madre
104,79,3475,Padre
105,80,2361,Padre
106,81,3619,Padre
107,82,518,Padre
108,83,1350,Madre
109,84,2189,Madre
110,85,197,Madre
111,86,2835,Padre
112,86,4014,Padre
113,87,3238,Padre
114,88,3789,Padre
115,89,1779,Madre
116,90,3308,Padre
117,91,1098,Padre
118,92,2525,Madre
119,93,3060,Madre
120,94,1283,Padre
121,95,1358,Padre
122,96,1151,Madre
123,97,2017,Madre
124,97,3290,Madre
125,98,3688,Madre
126,99,3964,Padre
127,100,2880,Padre
128,101,1450,Madre
129,101,598,Madre
130,102,2288,Madre
131,103,271,Padre
132,104,3414,Madre
133,105,1539,Madre
134,106,3811,Madre
135,107,1858,Padre
136,108,1207,Padre
137,109,2946,Madre
138,109,3348,Madre
139,109,2865,Madre
140,110,2447,Padre
141,111,2152,Padre
142,112,3370,Padre
143,112,461,Padre
144,113,1661,Padre
145,113,148,Padre
146,114,2757,Padre
147,115,2298,Madre
148,116,3736,Madre
149,117,775,Padre
150,117,730,Padre
151,118,1911,Padre
152,119,2439,Padre
153,120,732,Padre
154,121,1930,Madre
155,122,40,Padre
156,123,2468,Madre
157,123,231,Madre
158,124,4022,Padre
159,125,2172,Padre
160,126,165,Padre
161,127,2631,Padre
162,127,3951,Padre
163,127,1717,Padre
164,128,2971,Madre
165,129,2624,Padre
166,130,2355,Madre
167,131,2042,Padre
168,131,1432,Padre
169,132,779,Padre
170,133,1451,Madre
171,134,1435,Madre
172,135,2008,Madre
173,136,2085,Madre
174,137,1895,Padre
175,138,3556,Madre
176,139,2315,Madre
177,140,1122,Padre
178,141,2119,Madre
179,142,3465,Padre
180,143,555,Padre
181,143,1071,Padre
182,144,200,Padre
183,145,1747,Padre
184,146,480,Padre
185,147,1586,Padre
186,148,1003,Padre
187,148,2904,Padre
188,149,2377,Padre
189,150,3476,Padre
190,151,1639,Madre
191,152,3558,Padre
192,153,1344,Padre
193,154,3205,Padre
194,155,3603,Madre
195,156,2789,Madre
196,157,2000,Padre
197,158,599,Padre
