id,nivel,grado,letra,nombre_seccion,turno,capacidad_alumnos,id_profesor_tutor
1,Primaria,1,A,1° A - Primaria,Mañana,23,83
2,Primaria,1,B,1° B - Primaria,Mañana,30,40
3,Primaria,1,C,1° C - Primaria,Mañana,36,39
4,Primaria,1,D,1° D - Primaria,Mañana,36,23
5,Primaria,1,E,1° E - Primaria,Mañana,40,85
6,Primaria,1,F,1° F - Primaria,Mañana,23,11
7,Primaria,1,G,1° G - Primaria,Tarde,27,104
8,Primaria,1,H,1° H - Primaria,Tarde,39,120
9,Primaria,1,I,1° I - Primaria,Tarde,39,6
10,Primaria,1,J,1° J - Primaria,Tarde,37,51
11,Primaria,1,K,1° K - Primaria,Tarde,33,118
12,Primaria,1,L,1° L - Primaria,Tarde,38,103
13,Primaria,1,M,1° M - Primaria,Tarde,37,54
14,Primaria,2,A,2° A - Primaria,Mañana,35,25
15,Primaria,2,B,2° B - Primaria,Mañana,38,106
16,Primaria,2,C,2° C - Primaria,Mañana,34,29
17,Primaria,2,D,2° D - Primaria,Mañana,27,18
18,Primaria,2,E,2° E - Primaria,Mañana,20,31
19,Primaria,2,F,2° F - Primaria,Mañana,39,78
20,Primaria,2,G,2° G - Primaria,Tarde,22,37
21,Primaria,2,H,2° H - Primaria,Tarde,23,108
22,Primaria,2,I,2° I - Primaria,Tarde,29,100
23,Primaria,2,J,2° J - Primaria,Tarde,23,28
24,Primaria,2,K,2° K - Primaria,Tarde,34,109
25,Primaria,2,L,2° L - Primaria,Tarde,20,14
26,Primaria,2,M,2° M - Primaria,Tarde,35,7
27,Primaria,3,A,3° A - Primaria,Mañana,30,56
28,Primaria,3,B,3° B - Primaria,Mañana,26,128
29,Primaria,3,C,3° C - Primaria,Mañana,32,112
30,Primaria,3,D,3° D - Primaria,Mañana,28,72
31,Primaria,3,E,3° E - Primaria,Mañana,31,107
32,Primaria,3,F,3° F - Primaria,Mañana,31,30
33,Primaria,3,G,3° G - Primaria,Tarde,32,20
34,Primaria,3,H,3° H - Primaria,Tarde,36,119
35,Primaria,3,I,3° I - Primaria,Tarde,40,12
36,Primaria,3,J,3° J - Primaria,Tarde,22,26
37,Primaria,3,K,3° K - Primaria,Tarde,30,5
38,Primaria,3,L,3° L - Primaria,Tarde,22,76
39,Primaria,3,M,3° M - Primaria,Tarde,37,102
40,Primaria,4,A,4° A - Primaria,Mañana,37,74
41,Primaria,4,B,4° B - Primaria,Mañana,29,130
42,Primaria,4,C,4° C - Primaria,Mañana,29,117
43,Primaria,4,D,4° D - Primaria,Mañana,34,97
44,Primaria,4,E,4° E - Primaria,Mañana,24,4
45,Primaria,4,F,4° F - Primaria,Mañana,40,32
46,Primaria,4,G,4° G - Primaria,Tarde,38,27
47,Primaria,4,H,4° H - Primaria,Tarde,29,68
48,Primaria,4,I,4° I - Primaria,Tarde,20,73
49,Primaria,4,J,4° J - Primaria,Tarde,31,62
50,Primaria,4,K,4° K - Primaria,Tarde,31,46
51,Primaria,4,L,4° L - Primaria,Tarde,34,75
52,Primaria,4,M,4° M - Primaria,Tarde,33,82
53,Primaria,5,A,5° A - Primaria,Mañana,22,92
54,Primaria,5,B,5° B - Primaria,Mañana,32,47
55,Primaria,5,C,5° C - Primaria,Mañana,38,13
56,Primaria,5,D,5° D - Primaria,Mañana,37,34
57,Primaria,5,E,5° E - Primaria,Mañana,35,42
58,Primaria,5,F,5° F - Primaria,Mañana,23,101
59,Primaria,5,G,5° G - Primaria,Tarde,33,84
60,Primaria,5,H,5° H - Primaria,Tarde,36,61
61,Primaria,5,I,5° I - Primaria,Tarde,39,99
62,Primaria,5,J,5° J - Primaria,Tarde,35,88
63,Primaria,5,K,5° K - Primaria,Tarde,32,1
64,Primaria,5,L,5° L - Primaria,Tarde,36,55
65,Primaria,5,M,5° M - Primaria,Tarde,28,53
66,Secundaria,1,A,1° A - Secundaria,Mañana,33,95
67,Secundaria,1,B,1° B - Secundaria,Mañana,38,91
68,Secundaria,1,C,1° C - Secundaria,Mañana,35,41
69,Secundaria,1,D,1° D - Secundaria,Mañana,36,116
70,Secundaria,1,E,1° E - Secundaria,Mañana,36,59
71,Secundaria,1,F,1° F - Secundaria,Mañana,20,80
72,Secundaria,1,G,1° G - Secundaria,Tarde,38,16
73,Secundaria,1,H,1° H - Secundaria,Tarde,27,105
74,Secundaria,1,I,1° I - Secundaria,Tarde,24,33
75,Secundaria,1,J,1° J - Secundaria,Tarde,21,77
76,Secundaria,1,K,1° K - Secundaria,Tarde,36,111
77,Secundaria,1,L,1° L - Secundaria,Tarde,23,121
78,Secundaria,1,M,1° M - Secundaria,Tarde,39,67
79,Secundaria,2,A,2° A - Secundaria,Mañana,33,115
80,Secundaria,2,B,2° B - Secundaria,Mañana,35,63
81,Secundaria,2,C,2° C - Secundaria,Mañana,24,9
82,Secundaria,2,D,2° D - Secundaria,Mañana,35,113
83,Secundaria,2,E,2° E - Secundaria,Mañana,27,114
84,Secundaria,2,F,2° F - Secundaria,Mañana,23,79
85,Secundaria,2,G,2° G - Secundaria,Tarde,40,60
86,Secundaria,2,H,2° H - Secundaria,Tarde,34,81
87,Secundaria,2,I,2° I - Secundaria,Tarde,35,48
88,Secundaria,2,J,2° J - Secundaria,Tarde,37,87
89,Secundaria,2,K,2° K - Secundaria,Tarde,28,21
90,Secundaria,2,L,2° L - Secundaria,Tarde,37,3
91,Secundaria,2,M,2° M - Secundaria,Tarde,32,96
92,Secundaria,3,A,3° A - Secundaria,Mañana,29,43
93,Secundaria,3,B,3° B - Secundaria,Mañana,37,86
94,Secundaria,3,C,3° C - Secundaria,Mañana,40,17
95,Secundaria,3,D,3° D - Secundaria,Mañana,36,44
96,Secundaria,3,E,3° E - Secundaria,Mañana,35,71
97,Secundaria,3,F,3° F - Secundaria,Mañana,32,35
98,Secundaria,3,G,3° G - Secundaria,Tarde,33,65
99,Secundaria,3,H,3° H - Secundaria,Tarde,26,24
100,Secundaria,3,I,3° I - Secundaria,Tarde,29,2
101,Secundaria,3,J,3° J - Secundaria,Tarde,28,110
102,Secundaria,3,K,3° K - Secundaria,Tarde,20,22
103,Secundaria,3,L,3° L - Secundaria,Tarde,21,10
104,Secundaria,3,M,3° M - Secundaria,Tarde,24,38
105,Secundaria,4,A,4° A - Secundaria,Mañana,40,124
106,Secundaria,4,B,4° B - Secundaria,Mañana,39,50
107,Secundaria,4,C,4° C - Secundaria,Mañana,34,90
108,Secundaria,4,D,4° D - Secundaria,Mañana,36,126
109,Secundaria,4,E,4° E - Secundaria,Mañana,35,89
110,Secundaria,4,F,4° F - Secundaria,Mañana,31,19
111,Secundaria,4,G,4° G - Secundaria,Tarde,26,64
112,Secundaria,4,H,4° H - Secundaria,Tarde,28,127
113,Secundaria,4,I,4° I - Secundaria,Tarde,35,69
114,Secundaria,4,J,4° J - Secundaria,Tarde,34,57
115,Secundaria,4,K,4° K - Secundaria,Tarde,36,129
116,Secundaria,4,L,4° L - Secundaria,Tarde,35,45
117,Secundaria,4,M,4° M - Secundaria,Tarde,33,123
118,Secundaria,5,A,5° A - Secundaria,Mañana,37,58
119,Secundaria,5,B,5° B - Secundaria,Mañana,21,125
120,Secundaria,5,C,5° C - Secundaria,Mañana,29,8
121,Secundaria,5,D,5° D - Secundaria,Mañana,30,66
122,Secundaria,5,E,5° E - Secundaria,Mañana,34,15
123,Secundaria,5,F,5° F - Secundaria,Mañana,23,98
124,Secundaria,5,G,5° G - Secundaria,Tarde,34,52
125,Secundaria,5,H,5° H - Secundaria,Tarde,36,94
126,Secundaria,5,I,5° I - Secundaria,Tarde,28,36
127,Secundaria,5,J,5° J - Secundaria,Tarde,34,122
128,Secundaria,5,K,5° K - Secundaria,Tarde,25,93
129,Secundaria,5,L,5° L - Secundaria,Tarde,33,49
130,Secundaria,5,M,5° M - Secundaria,Tarde,35,70
